Title,Date
"Archer: Temporada 2: Duplo Dois","09/04/2022"
"Archer: Temporada 2: Missão gasoduto","09/04/2022"
"Archer: Temporada 2: Teste de paternidade","09/04/2022"
"Archer: Temporada 2: ISIS à venda","09/04/2022"
"Archer: Temporada 2: Moça suíça","09/04/2022"
"Archer: Temporada 1: Disque M para mãe","09/04/2022"
"Archer: Temporada 1: Oferta de trabalho","09/04/2022"
"Archer: Temporada 1: A pedra","08/04/2022"
"Archer: Temporada 1: Ameaça","08/04/2022"
"Archer: Temporada 1: Skorpio","08/04/2022"
"Archer: Temporada 1: HoneyPot","07/04/2022"
"Archer: Temporada 1: Matando Utne","07/04/2022"
"Cuphead - A Série: Temporada 1: Jogando os dados","05/04/2022"
"Cuphead - A Série: Temporada 1: Cuidado: frágil","05/04/2022"
"Cuphead - A Série: Temporada 1: Ribby e Croaks","05/04/2022"
"Archer: Temporada 1: Diversidade","04/04/2022"
"Archer: Temporada 1: Dia de treino","04/04/2022"
"Departamento de Conspirações: Parte 1: Na mente da Reagan","04/04/2022"
"Departamento de Conspirações: Parte 1: Caça ao espião","04/04/2022"
"Departamento de Conspirações: Parte 1: Estraga-prazeres","03/04/2022"
"Departamento de Conspirações: Parte 1: Protocolo fantasma","03/04/2022"
"Departamento de Conspirações: Parte 1: Casamento na Terra plana","03/04/2022"
"Departamento de Conspirações: Parte 1: Nostalgia","03/04/2022"
"Departamento de Conspirações: Parte 1: O par perfeito","01/04/2022"
"Departamento de Conspirações: Parte 1: Sangue azul","01/04/2022"
"Departamento de Conspirações: Parte 1: Atirador clonado","01/04/2022"
"Departamento de Conspirações: Parte 1: O presidente robô","31/03/2022"
"Archer: Temporada 1: Piloto: Caçando um espião duplo","30/03/2022"
"Rick and Morty: Temporada 4: A grande missão","30/03/2022"
"Rick and Morty: Temporada 4: Gravidez","30/03/2022"
"Rick and Morty: Temporada 4: O tanque de ácido","29/03/2022"
"Rick and Morty: Temporada 4: Os sugadores","29/03/2022"
